city,adm_cd,adm_nm,year,mean_temp,mean_skin_temp,temp_p95,hot_hour_ratio,tropical_night_ratio,mean_cooling_amount,green_ratio,impervious_ratio,building_area,building_density,log_building_density,log_building_area,building_density_zscore_city,building_growth,building_growth_rate,road_area,road_ratio,log_road_ratio,log_road_area,road_ratio_zscore_city,road_area_zscore_city,road_area_change,road_ratio_change,road_area_growth_rate,road_ratio_growth_rate,population
나주,36040110,남평읍,2018,13.2523177268938,13.188245334241152,29.062840137053698,0.0378995433789954,0.1417808219178082,-4.453581745472837,0.7330208852148166,0.0183800137232199,20885.252917371487,0.0003839888174597,0.000383915112621,9.94684646638739,-0.2878880482712922,0.0,0.0,635247.5537308241,0.011679435145763,0.0116117569951015,13.3617716244869,-0.5089822563966965,1.2354985328532868,0.0,0.0,0.0,0.0,11471.0
나주,36040110,남평읍,2019,9.681684526006933,9.549339934336388,19.37763530113552,0.0125570776255707,0.1151826484018264,-4.436046092195986,0.7303495408592596,0.019638012860889,20885.252917371487,0.0003839888174597,0.000383915112621,9.94684646638739,-0.2878880482712922,0.0,0.0,704363.1206243002,0.0129501693286089,0.0128670328706468,13.465050718225555,-0.4473416994340278,1.6164887910992565,69115.56689347606,0.0012707341828458,0.1088009965367968,0.1088009965367964,12231.0
나주,36040110,남평읍,2020,9.6979106140059,9.615120070873624,19.70617610080464,0.0100182149362477,0.1021174863387978,-4.384831711128933,0.7265502079674785,0.0215728727182108,20885.252917371487,0.0003839888174597,0.000383915112621,9.94684646638739,-0.2878880482712922,0.0,0.0,786310.0902154242,0.0144568171088488,0.0143533136891221,13.575107782185654,-0.3742574859342653,2.0682104293680434,81946.96959112398,0.0015066477802399,0.1163419366966454,0.1163419366966488,12044.0
나주,36040110,남평읍,2021,8.742521534221472,8.637263694765496,17.90074006825191,0.014269406392694,0.1190639269406392,-4.247455321136636,0.7282460510707048,0.0212588762060463,20885.252917371487,0.0003839888174597,0.000383915112621,9.94684646638739,-0.2878880482712922,0.0,0.0,774073.4646599626,0.014231838872036,0.0141315169761846,13.559423355515223,-0.3851706918657862,2.000757678273346,-12236.625555461622,-0.0002249782368127,-0.0155620863927985,-0.0155620863927989,12040.0
나주,36040110,남평읍,2022,13.66947127881092,13.728015077955323,28.32390264690668,0.0211187214611872,0.1593607305936073,-4.652314820516579,0.7273108887695123,0.0215217550327808,19598.6863955092,0.0003603344638702,0.0003602695589984,9.88326884486148,-0.2905182772845622,-1286.5665218622853,-0.0616016730538212,786620.1344711513,0.0144625174720471,0.0143589328018204,13.575502006749025,-0.3739809736886863,2.069919506589955,12546.669811188707,0.000230678600011,0.0162086292632447,0.016208629263247,11865.0
나주,36040110,남평읍,2023,10.29137648612314,10.123799239651754,20.696935404585798,0.0182648401826484,0.1269406392694063,-4.286110122506943,0.7210412524984705,0.0237037874103415,17249.978625467254,0.0003171519597969,0.0003171016777451,9.755624152761458,-0.2953199250932625,-2348.707770041947,-0.1198400608410227,882732.0595040476,0.0162295970752089,0.0160993049995828,13.690778123013512,-0.2882637777505694,2.5997235548622823,96111.92503289634,0.0017670796031617,0.1221834031714848,0.1221834031714865,11817.0
나주,36040110,남평읍,2024,8.88624941290472,8.691116189909332,17.490285170823043,0.0376984126984126,0.1808035714285714,-4.113899243692649,0.7175036967536588,0.02276392530007,17233.004265270218,0.0003168398752593,0.0003167896921057,9.75463970329128,-0.2953546271113195,-16.97436019703673,-0.0009840221002927,849583.8114833898,0.0156201451998271,0.015499406413601,13.652503052054117,-0.3178269653531436,2.4169983000256043,-33148.248020657804,-0.0006094518753818,-0.0375518796035138,-0.0375518796035148,11711.0
나주,36040310,세지면,2018,13.473379191106048,13.48125595684058,28.078736202873603,0.0405251141552511,0.1559360730593607,-4.324278239479051,0.4940504944251389,0.0402735214250453,8157.192264437196,0.00027088212546,0.0002708454435212,9.006777887194447,-0.3004648663934608,0.0,0.0,184129.1537745077,0.006114517706178,0.0060958998968599,12.123398144001891,-0.7789243222180942,-1.2512309178905934,0.0,0.0,0.0,0.0,2879.0
나주,36040310,세지면,2019,9.905494066700651,9.753777631518062,20.25385777453016,0.0131278538812785,0.1243150684931506,-4.2422554323678,0.4620003931513605,0.0405142697640674,8157.192264437196,0.00027088212546,0.0002708454435212,9.006777887194447,-0.3004648663934608,0.0,0.0,251177.58344229247,0.0083410462160367,0.0083064519253116,12.433919452944354,-0.6709202570928589,-0.8816354753257253,67048.42966778472,0.0022265285098587,0.3641380427452299,0.3641380427452284,2795.0
나주,36040310,세지면,2020,10.446107681385325,10.358968972110908,19.59000190097752,0.0095628415300546,0.1109972677595628,-4.014291006836113,0.4682414964034422,0.0372688974042598,8157.192264437196,0.00027088212546,0.0002708454435212,9.006777887194447,-0.3004648663934608,0.0,0.0,241076.41453272203,0.0080056089705785,0.0079737340886343,12.392873383019488,-0.6871915897721769,-0.9373168091325476,-10101.168909570437,-0.0003354372454581,-0.0402152483957277,-0.0402152483957324,2664.0
나주,36040310,세지면,2021,10.319054385637047,10.158383288847096,19.705711555135967,0.0148401826484018,0.133675799086758,-4.063193347329329,0.3636202898438158,0.0549615291415997,8157.192264437196,0.00027088212546,0.0002708454435212,9.006777887194447,-0.3004648663934608,0.0,0.0,493299.6769868988,0.0163813798497231,0.0162486525889833,13.108874159584357,-0.2809011248175688,0.45302997115449,252223.2624541768,0.0083757708791445,1.046237820249072,1.0462378202490883,2563.0
나주,36040310,세지면,2022,13.887519612257396,14.064743852808204,27.56491649735668,0.0200913242009132,0.1671232876712328,-4.402309734988226,0.3636202898438158,0.0549612915411113,8157.192264437196,0.00027088212546,0.0002708454435212,9.006777887194447,-0.3004648663934608,0.0,0.0,493299.6769868988,0.0163813798497231,0.0162486525889833,13.108874159584357,-0.2809011248175688,0.45302997115449,0.0,0.0,0.0,0.0,2496.0
나주,36040310,세지면,2023,10.782934758152392,10.638887725770632,22.58008907857668,0.0171232876712328,0.1388127853881278,-3.9291803683240265,0.3632987864929371,0.0564484223497869,5769.957501349403,0.0001916073939551,0.0001915890396029,8.660593290509427,-0.3092797637456309,-2387.234763087793,-0.292653977704484,514229.0191137558,0.017076396528994,0.0169322337426306,13.150425952338876,-0.24718737430473,0.568400152145976,20929.342126856965,0.0006950166792708,0.0424272366337122,0.0424272366337105,2418.0
나주,36040310,세지면,2024,10.024552087627525,9.832884871536164,19.36356836741324,0.038938492063492,0.1958085317460317,-3.6269751485459945,0.3932278233170221,0.0524625864018517,5769.957501349403,0.0001916073939551,0.0001915890396029,8.660593290509427,-0.3092797637456309,0.0,0.0,451106.4813216757,0.014980238114769,0.0148691424665448,13.019460907878065,-0.348867469071239,0.2204456600470967,-63122.53779208008,-0.0020961584142249,-0.122751800162636,-0.1227518001626357,2336.0
